ord_status ,ord_id ,ord_original_ord_id ,ord_quantity ,ord_trader ,ord_update_date_time 
active ,1200,1200,199,A ,1/29/2014 5:05 
audit ,1214,1200,-122,A ,1/29/2014 4:25 
audit ,1205,1200,125,B ,1/28/2014 11:05 
audit ,1251,1250,-25,B ,1/9/2014 1:45 
active ,1250,1250,-25,A ,1/29/2014 5:05 
active ,1240,1240,125,B ,1/22/2014 5:15 
active ,1245,1245,225,B ,1/19/2014 3:33 
audit ,1222,1245,225,B ,1/19/2014 1:05 
deleted ,1300,1300,155,C ,1/23/2014 2:05 
active ,1288,1288,90,C ,1/23/2014 2:05 
audit ,1285,1275,-66,A ,1/29/2014 4:05 
active ,1275,1275,-200,A ,1/29/2014 5:05 
audit ,1289,1288,99,C ,1/11/2014 5:05 
audit ,1291,1288,90,C,1/13/2014 5:05
audit ,1294,1288,90,A ,1/15/2014 5:05 
